,pm,stator_tooth,stator_yoke,stator_winding
0,-2.411962,-1.5198765,-1.4434545,-1.3368787
1,-2.4003577,-1.500869,-1.4326398,-1.3077704
2,-2.391341,-1.4915473,-1.4274535,-1.2939324
3,-2.385149,-1.4826887,-1.4231544,-1.2795628
4,-2.3769932,-1.4717743,-1.418055,-1.2608521
5,-2.378149,-1.473064,-1.4192141,-1.2629805
6,-2.3700209,-1.463892,-1.4153365,-1.2462848
7,-2.3740697,-1.467585,-1.4173713,-1.252797
8,-2.3699968,-1.4649979,-1.4164774,-1.2477734
9,-2.3738554,-1.4703112,-1.4190102,-1.257454
10,-2.370082,-1.4671314,-1.4176797,-1.2515137
11,-2.369228,-1.4671059,-1.417796,-1.2512746
12,-2.3704247,-1.4668081,-1.4176555,-1.2508597
13,-2.3662522,-1.4616333,-1.4148641,-1.2422565
14,-2.370238,-1.4658076,-1.4159949,-1.2513802
15,-2.3641758,-1.4619184,-1.4138277,-1.2449204
16,-2.3676848,-1.4636394,-1.4140819,-1.2490937
17,-2.3613982,-1.4570148,-1.4106247,-1.2377944
18,-2.3618293,-1.4583671,-1.4107772,-1.241109
19,-2.275011,-1.4260029,-1.3568976,-1.28079
20,-1.9771612,-1.2112278,-1.1791054,-1.0591621
21,-0.9119736,-0.7817991,-0.88845956,-0.5874855
22,0.48844793,-0.34940225,-0.55291843,-0.19937311
23,0.9830499,-0.21911162,-0.4680096,-0.066716604
24,0.7629276,-0.3354038,-0.5789257,-0.19655696
25,-0.15347764,-0.69241965,-0.8405502,-0.5817095
26,-0.6148759,-0.64998806,-0.80526537,-0.49905014
27,-0.66487956,-0.4499637,-0.6539695,-0.24711353
28,-0.57293165,-0.46490455,-0.68626374,-0.26680654
29,-0.22084159,-0.28005502,-0.58124506,-0.07803803
30,0.32580256,0.014529485,-0.4256216,0.25008637
31,0.5680857,0.2024734,-0.34010708,0.5003201
32,0.37855142,0.17209008,-0.3895603,0.5133335
33,-0.13757971,-0.07391712,-0.5544161,0.27741164
34,-0.574184,-0.2386635,-0.6673439,0.14142677
35,-0.9446031,-0.3987148,-0.7843417,0.00891659
36,-1.2485249,-0.5787592,-0.91107714,-0.16108558
37,-1.4835955,-0.7430446,-1.0237136,-0.32833973
38,-1.6812781,-0.87609655,-1.1126332,-0.46862373
39,-1.8149111,-0.9645572,-1.1714025,-0.5639304
40,-1.8961883,-1.0206501,-1.2109988,-0.62201136
41,-1.950165,-1.0598831,-1.2389679,-0.6629417
